a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
-999.0,529.6501764566058,981.6501764566058,452,102,15,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,229.56321144778144,681.5632114477814,452,102,15,1.0,1000.0,Turing
-999.0,390.65714285714296,842.657142857143,452,102,15,1.0,1000.0,Jackknife k = 2
-999.0,250.13333333333333,702.1333333333333,452,102,15,1.0,1000.0,Jackknife k = 1
-999.0,315.0175438596491,767.0175438596491,452,102,15,1.0,1000.0,Chao
2.2501419328337193,300.6078695591017,824.6078695591017,524,102,20,1.0,1000.0,Pseudolikelihood
-999.0,483.84611764511715,1007.8461176451171,524,102,20,1.0,1000.0,Turing Geometric
-999.0,3.7400325280705147,527.7400325280705,524,102,20,1.0,1000.0,Huggins
-999.0,92.95817490494301,616.958174904943,524,102,20,1.0,1000.0,Schnabel
-999.0,208.59503069350194,732.5950306935019,524,102,20,1.0,1000.0,Zelterman
-999.0,295.5435070519436,819.5435070519436,524,102,20,1.0,1000.0,Jackknife k = 4
-999.0,331.05131578947373,855.0513157894737,524,102,20,1.0,1000.0,Jackknife k = 3
-999.0,220.2427943326453,744.2427943326453,524,102,20,1.0,1000.0,Jackknife k = 5
-999.0,326.93623585162766,850.9362358516277,524,102,20,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,142.1105759240379,666.1105759240379,524,102,20,1.0,1000.0,Turing
-999.0,318.1,842.1,524,102,20,1.0,1000.0,Jackknife k = 2
-999.0,229.89999999999998,753.9,524,102,20,1.0,1000.0,Jackknife k = 1
-999.0,192.6447368421052,716.6447368421052,524,102,20,1.0,1000.0,Chao
30.17744877126222,880.8245097079546,1074.8245097079546,194,103,5,1.0,1000.0,Pseudolikelihood
-999.0,1689.9250061974055,1883.9250061974055,194,103,5,1.0,1000.0,Turing Geometric
-999.0,15.533788215146984,209.53378821514698,194,103,5,1.0,1000.0,Huggins
-999.0,414.33333333333337,608.3333333333334,194,103,5,1.0,1000.0,Schnabel
-999.0,706.0162435060635,900.0162435060635,194,103,5,1.0,1000.0,Zelterman
-999.0,319.75,513.75,194,103,5,1.0,1000.0,Jackknife k = 4
-999.0,291.45000000000005,485.45000000000005,194,103,5,1.0,1000.0,Jackknife k = 3
-999.0,319.75,513.75,194,103,5,1.0,1000.0,Jackknife k = 5
-999.0,173.0,367.0,194,103,5,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,621.4542026810756,815.4542026810756,194,103,5,1.0,1000.0,Turing
-999.0,232.75,426.75,194,103,5,1.0,1000.0,Jackknife k = 2
-999.0,138.39999999999998,332.4,194,103,5,1.0,1000.0,Jackknife k = 1
-999.0,712.5952380952381,906.5952380952381,194,103,5,1.0,1000.0,Chao
21.788004361152115,344.95971520505094,712.959715205051,368,103,10,1.0,1000.0,Pseudolikelihood
-999.0,803.6486611116081,1171.6486611116081,368,103,10,1.0,1000.0,Turing Geometric
-999.0,8.566944423482255,376.56694442348225,368,103,10,1.0,1000.0,Huggins
-999.0,222.63694267515928,590.6369426751593,368,103,10,1.0,1000.0,Schnabel
-999.0,359.8174503242409,727.8174503242409,368,103,10,1.0,1000.0,Zelterman
-999.0,504.4301587301586,872.4301587301586,368,103,10,1.0,1000.0,Jackknife k = 4
-999.0,444.6777777777777,812.6777777777777,368,103,10,1.0,1000.0,Jackknife k = 3
-999.0,549.1543650793652,917.1543650793652,368,103,10,1.0,1000.0,Jackknife k = 5
-999.0,495.9797770589287,863.9797770589287,368,103,10,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,280.6480865738298,648.6480865738298,368,103,10,1.0,1000.0,Turing
-999.0,358.0333333333333,726.0333333333333,368,103,10,1.0,1000.0,Jackknife k = 2
-999.0,222.29999999999995,590.3,368,103,10,1.0,1000.0,Jackknife k = 1
-999.0,350.6264367816092,718.6264367816092,368,103,10,1.0,1000.0,Chao
10.506505165217193,262.3917411549177,709.3917411549178,447,103,15,1.0,1000.0,Pseudolikelihood
-999.0,632.3702918218926,1079.3702918218926,447,103,15,1.0,1000.0,Turing Geometric
-999.0,5.257074186498869,452.25707418649887,447,103,15,1.0,1000.0,Huggins
-999.0,156.48122866894198,603.481228668942,447,103,15,1.0,1000.0,Schnabel
-999.0,295.54623860891195,742.546238608912,447,103,15,1.0,1000.0,Zelterman
-999.0,482.6130647130649,929.6130647130649,447,103,15,1.0,1000.0,Jackknife k = 4
-999.0,434.54615384615397,881.546153846154,447,103,15,1.0,1000.0,Jackknife k = 3
-999.0,523.2322233322234,970.2322233322234,447,103,15,1.0,1000.0,Jackknife k = 5
-999.0,395.6895493926761,842.6895493926761,447,103,15,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,208.42774689101066,655.4277468910107,447,103,15,1.0,1000.0,Turing
-999.0,363.0428571428572,810.0428571428572,447,103,15,1.0,1000.0,Jackknife k = 2
-999.0,237.0666666666666,684.0666666666666,447,103,15,1.0,1000.0,Jackknife k = 1
-999.0,275.70940170940173,722.7094017094017,447,103,15,1.0,1000.0,Chao
2.5372906896666017,320.10366474491883,864.1036647449189,544,103,20,1.0,1000.0,Pseudolikelihood
-999.0,561.7601561916429,1105.7601561916429,544,103,20,1.0,1000.0,Turing Geometric
-999.0,4.014281816862194,548.0142818168622,544,103,20,1.0,1000.0,Huggins
-999.0,99.62648221343875,643.6264822134387,544,103,20,1.0,1000.0,Schnabel
-999.0,329.9035151090111,873.9035151090111,544,103,20,1.0,1000.0,Zelterman
-999.0,545.4558565531474,1089.4558565531474,544,103,20,1.0,1000.0,Jackknife k = 4
-999.0,472.08523391812867,1016.0852339181287,544,103,20,1.0,1000.0,Jackknife k = 3
-999.0,628.035198980908,1172.035198980908,544,103,20,1.0,1000.0,Jackknife k = 5
-999.0,490.50380653037405,1034.503806530374,544,103,20,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,172.10722355504936,716.1072235550494,544,103,20,1.0,1000.0,Turing
-999.0,388.8026315789473,932.8026315789473,544,103,20,1.0,1000.0,Jackknife k = 2
-999.0,257.45000000000005,801.45,544,103,20,1.0,1000.0,Jackknife k = 1
-999.0,278.185606060606,822.185606060606,544,103,20,1.0,1000.0,Chao
48.87145762891051,755.6336461360748,947.6336461360748,192,104,5,1.0,1000.0,Pseudolikelihood
-999.0,1501.011831159641,1693.011831159641,192,104,5,1.0,1000.0,Turing Geometric
-999.0,15.286716989346445,207.28671698934644,192,104,5,1.0,1000.0,Huggins
-999.0,353.86956521739125,545.8695652173913,192,104,5,1.0,1000.0,Schnabel
-999.0,613.7409658809322,805.7409658809322,192,104,5,1.0,1000.0,Zelterman
