a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
0.2490836075479504,2.6646681321813452,530.6646681321813,528,169,30,0.5,1000,Beta-binomial
0.35061661950698814,124.73753469613827,668.7375346961383,544,169,35,0.5,1000,Beta-binomial
0.2151169164190248,8.153174504143639,567.1531745041436,559,169,40,0.5,1000,Beta-binomial
0.22044521418648394,5.3582927199808024e-11,565.0000000000535,565,169,45,0.5,1000,Beta-binomial
0.29942970551062936,133.0795697064519,711.0795697064519,578,169,50,0.5,1000,Beta-binomial
0.15818744996725964,1831.6214547604325,1927.6214547604325,96,16,5,0.5,1000,Beta-binomial
0.15528374307480514,1787.25538249812,2008.25538249812,221,16,10,0.5,1000,Beta-binomial
0.24879271511377288,1171.6266388878876,1470.6266388878876,299,16,15,0.5,1000,Beta-binomial
0.6757035902369991,497.3990525529516,860.3990525529516,363,16,20,0.5,1000,Beta-binomial
0.7093666687614614,458.60021458487523,858.6002145848752,400,16,25,0.5,1000,Beta-binomial
0.7249679318613228,414.7442851769383,835.7442851769383,421,16,30,0.5,1000,Beta-binomial
0.7013629694191007,414.90307467625496,853.903074676255,439,16,35,0.5,1000,Beta-binomial
0.6479907337149117,418.4600035168146,883.4600035168146,465,16,40,0.5,1000,Beta-binomial
0.6343954631124779,420.41653978474613,895.4165397847462,475,16,45,0.5,1000,Beta-binomial
0.587880748771367,446.9612210811819,939.961221081182,493,16,50,0.5,1000,Beta-binomial
0.7406338025739081,538.5125462467968,761.5125462467968,223,170,5,0.5,1000,Beta-binomial
0.31863980279929055,970.3743255939182,1228.3743255939182,258,170,10,0.5,1000,Beta-binomial
0.6993985625288495,471.7477449553387,777.7477449553387,306,170,15,0.5,1000,Beta-binomial
0.34861814434136307,842.9200969131757,1211.9200969131757,369,170,20,0.5,1000,Beta-binomial
0.003992488508611606,8775.01457854826,9167.01457854826,392,170,25,0.5,1000,Beta-binomial
0.0039337221427700126,9177.274012043183,9598.274012043183,421,170,30,0.5,1000,Beta-binomial
0.16492574823741266,1648.016303044192,2089.016303044192,441,170,35,0.5,1000,Beta-binomial
0.20277363589652384,1021.7408954586618,1507.7408954586617,486,170,40,0.5,1000,Beta-binomial
0.2461167233948101,843.6334462488137,1344.6334462488137,501,170,45,0.5,1000,Beta-binomial
0.46502027058103945,520.9997457359423,1039.9997457359423,519,170,50,0.5,1000,Beta-binomial
2.9091173897860466e24,275.64714235998264,416.64714235998264,141,171,5,0.5,1000,Beta-binomial
2.2521332250087145,335.16402555755235,599.1640255575523,264,171,10,0.5,1000,Beta-binomial
2.699684313813143,254.26668909241639,593.2666890924164,339,171,15,0.5,1000,Beta-binomial
1.435417323280122,264.0651725254184,664.0651725254183,400,171,20,0.5,1000,Beta-binomial
0.8158922564611869,363.23258951872305,803.232589518723,440,171,25,0.5,1000,Beta-binomial
0.41510092192331616,518.4235715192492,1010.4235715192492,492,171,30,0.5,1000,Beta-binomial
0.592366417526125,390.62724670640046,907.6272467064005,517,171,35,0.5,1000,Beta-binomial
0.672053428350671,306.7783716761717,843.7783716761717,537,171,40,0.5,1000,Beta-binomial
0.6754206035784561,292.5604128887549,840.5604128887549,548,171,45,0.5,1000,Beta-binomial
0.6738858269823161,264.38559669399245,830.3855966939925,566,171,50,0.5,1000,Beta-binomial
9.41752615142021e10,298.0737187327869,503.0737187327869,205,172,5,0.5,1000,Beta-binomial
0.9948309536974306,486.34522010119,780.3452201011901,294,172,10,0.5,1000,Beta-binomial
0.9727606060269539,376.60793190790207,729.6079319079021,353,172,15,0.5,1000,Beta-binomial
0.7067324518217599,377.6187798096575,781.6187798096576,404,172,20,0.5,1000,Beta-binomial
0.6440636247359629,367.3106972691149,821.3106972691148,454,172,25,0.5,1000,Beta-binomial
0.7199811848791868,326.4108994706663,791.4108994706663,465,172,30,0.5,1000,Beta-binomial
0.7008113672938341,298.117861338035,785.117861338035,487,172,35,0.5,1000,Beta-binomial
0.6631583697507764,307.56435398108886,808.5643539810889,501,172,40,0.5,1000,Beta-binomial
0.6317528940874748,315.86259747672466,829.8625974767247,514,172,45,0.5,1000,Beta-binomial
0.5233542650276185,374.0258092446702,919.0258092446702,545,172,50,0.5,1000,Beta-binomial
0.16907086969053517,1863.969428292277,2000.969428292277,137,173,5,0.5,1000,Beta-binomial
0.1773583660448643,1852.8576307069668,2046.8576307069668,194,173,10,0.5,1000,Beta-binomial
0.13119538596457403,1993.933048868295,2268.933048868295,275,173,15,0.5,1000,Beta-binomial
0.7024844022479737,533.8206332052648,857.8206332052648,324,173,20,0.5,1000,Beta-binomial
0.7674539027623017,486.7365242527556,864.7365242527555,378,173,25,0.5,1000,Beta-binomial
0.402453189494555,680.5291832733373,1089.5291832733374,409,173,30,0.5,1000,Beta-binomial
0.22895131065210564,957.5000303599253,1393.5000303599254,436,173,35,0.5,1000,Beta-binomial
0.24483159238156385,893.3716527786255,1342.3716527786255,449,173,40,0.5,1000,Beta-binomial
0.6627188642249846,450.89718224138625,943.8971822413862,493,173,45,0.5,1000,Beta-binomial
0.6126770776868448,467.9786515393399,988.9786515393399,521,173,50,0.5,1000,Beta-binomial
0.16377721297611636,1540.9248809897867,1715.9248809897867,175,174,5,0.5,1000,Beta-binomial
0.16629470743008154,1847.6233502760242,2121.623350276024,274,174,10,0.5,1000,Beta-binomial
0.5616463888602354,597.4714048810733,934.4714048810733,337,174,15,0.5,1000,Beta-binomial
0.6712035787431535,483.1239212994593,855.1239212994593,372,174,20,0.5,1000,Beta-binomial
0.720575841912521,429.98613968635715,830.9861396863571,401,174,25,0.5,1000,Beta-binomial
0.6290786461099893,472.1113164166009,885.1113164166009,413,174,30,0.5,1000,Beta-binomial
0.5545805021296383,447.7230403682143,918.7230403682142,471,174,35,0.5,1000,Beta-binomial
0.5381355558388654,445.06163736217917,934.0616373621792,489,174,40,0.5,1000,Beta-binomial
0.40108998327858064,557.9041867068016,1084.9041867068017,527,174,45,0.5,1000,Beta-binomial
0.36362025226188815,610.1377163962763,1150.1377163962763,540,174,50,0.5,1000,Beta-binomial
15.343254657868325,309.93766911888616,502.93766911888616,193,175,5,0.5,1000,Beta-binomial
0.2411527428533054,1445.9470446789244,1737.9470446789244,292,175,10,0.5,1000,Beta-binomial
0.5281169889797244,726.2082405371865,1083.2082405371866,357,175,15,0.5,1000,Beta-binomial
0.33184269984320036,1040.7021499698685,1443.7021499698685,403,175,20,0.5,1000,Beta-binomial
0.4829916462092068,607.3920552682058,1067.3920552682057,460,175,25,0.5,1000,Beta-binomial
0.5347500283768984,522.0466712367962,999.0466712367962,477,175,30,0.5,1000,Beta-binomial
0.6312325841450638,437.58236649937805,945.582366499378,508,175,35,0.5,1000,Beta-binomial
0.7299371341239734,361.9832808841961,899.9832808841961,538,175,40,0.5,1000,Beta-binomial
0.5290974115308377,436.28212116959304,992.282121169593,556,175,45,0.5,1000,Beta-binomial
0.5239089438051953,422.8871178741285,994.8871178741285,572,175,50,0.5,1000,Beta-binomial
0.14457904598851345,2128.92494007173,2340.92494007173,212,176,5,0.5,1000,Beta-binomial
0.21048429396412563,1516.239333170941,1777.239333170941,261,176,10,0.5,1000,Beta-binomial
0.4423491341547594,802.8354316124488,1095.8354316124487,293,176,15,0.5,1000,Beta-binomial
0.3537346726174793,946.0194790676487,1270.0194790676487,324,176,20,0.5,1000,Beta-binomial
0.43573217778891765,772.683145568485,1135.683145568485,363,176,25,0.5,1000,Beta-binomial
0.3548070570953303,834.6263996923071,1247.6263996923071,413,176,30,0.5,1000,Beta-binomial
0.3797284201709222,751.9314640967877,1183.9314640967877,432,176,35,0.5,1000,Beta-binomial
0.33160461982468825,784.4614296191688,1262.461429619169,478,176,40,0.5,1000,Beta-binomial
0.30742532281277135,827.0254817328236,1319.0254817328237,492,176,45,0.5,1000,Beta-binomial
0.36097767640667794,683.5928646043393,1184.5928646043394,501,176,50,0.5,1000,Beta-binomial
