tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	replied_to	retweeted
1596417136016199680	@Phillip_Thomaz @Burning81970838 @JustinOnWeb @omrgriffiths @eddwilson 4) PPE and vaccine procurement was incompetent as well as corrupt and done at massively above EU cost (which we could have joined and had better bargaining power). #r4today	1147057488698793985	1.147057488698794e+18	['508081252', '1549432730387202052', '179887262', '122628474', '54575030']		1.5964164244690985e+18	
1596417136502923264	RT @MerlinofCanada: Dr. Bonnie Henry &amp; Adrian Dix would have you believe that just 29 children in all of BC contracted COVID last week. Whe…	3163148070		['977204844']			1.5962990559275254e+18
1596417137278877697	RT @elizavetaka: I would like to ask you to RT this. It’s something which just happened to my 41yo friend back in LA. Healthy, dynamic pers…	1240312358733398016		['16060054']			1.596387310920405e+18
1596417137236934657	"RT @ElijahSchaffer: How groups like Axiom scam Republicans:

They promise a victory using pre-pandemic strategies 

While Dems are playing…"	1477164096084713472		['350822109']			1.595867821183234e+18
1596417138042232838	RT @KimDotcom: The ‘Died Suddenly’ Covid-19 vaccine documentary has been watched by 7 million people within 24 hours. 5 million views on Ru…	363323956		['611986351']			1.595496046536577e+18
1596417139107418112	"@kmfyy Work from the comfort of your home.
Reviewing apps. Check this out. https://t.co/cdIHO05EjW"	1585631256724656130	1.3494032512051528e+18	['1349403251205152774']		1.5964131251628564e+18	
1596417139912900608	@POTUS That’s not true. It just came out, more vaccinated are dying from Covid than anti-vaxxers.	1589190515391692805	1.3491490969096684e+18	['1349149096909668363']		1.5961869569787167e+18	
1596417141321801728	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	83082697		['914588454']			1.5962501084331459e+18
1596417141993242624	"RT @krishanKTRS: Is it BJP’s habit to use Mothers for Politics ?
How can a man infected of Covid with Symptoms visit others ?
Madam Governo…"	3050547205		['83384000']			1.5963933779098378e+18
1596417142747910144	"If you need to go out in public, maintain two metres (six feet) between you and other people to prevent the spread of droplets from coughing and sneezing. 📏

#COVID19 #COVID19US"	1241559185017278464					
1596417143276380161	Is social distancing the next big thing in agriculture?	1241868210410065920					
1596417143830347776	"RT @kentish_made: If the following has really pissed you 
off this week then I think we should be friends.
1. Michelle Mone and the great P…"	1413064910163038209		['2980435755']			1.595911876541563e+18
1596417144161730560	RT @supertanskiii: Michelle, I’m torn. Which is the best shade of lipstick to wear when (allegedly) pocketing £29m of taxpayers money for f…	579340992		['2732180892']			1.596152549840937e+18
1596417147001049089	"RT @MyGineration: We are apparently paying £770,000 per day to store unusable PPE.
WHY?
if it's unusable WHY ARE WE STORING IT????"	1408480654493368323		['41312616']			1.5960629175893524e+18
1596417146871255040	RT @Pat_Saekoo: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the return f…	275521970		['2175612528']			1.5964170018699674e+18
1596417147684749313	Clots in the lungs and heart are common after Covid infections. Mask up peeps. https://t.co/8s9tu1opmw	1434812224393125890			1.596387310920405e+18		
