tweet_id	text	author_id	in_reply_to_user_id	replied_to	retweeted	mentions	quoted
1596551153353117697	@RealJamesWoods Covid July ‘20. Vax 2 rounds by March ‘21. Booster Feb ‘22. Covid July ‘22	1585812807261503489	78523300.0	1.5965221787022991e+18		['78523300']	
1596551154170839049	"RT @nada88564211: #BillGates

CORONAVIRUS

If you OWNAVIRUS

You can CONTROLAVIRUS

(GOV.ID-23)"	1523362780069388291			1.596512295240487e+18	['1567491510223998977']	
1596551154376536064	"RT @Tam_Resist: They need new material, their aggrieved thug routine does nothing to help the economy and reduce inflation. 

#RedWaveFakeN…"	1373041290397421568			1.596540657954394e+18	['196802928']	
1596551154917208065	"5 years college life 
Enjoy only 2.5 yrs
Baki Corona or meri x ne barbad kr diye🙂"	1255601910687641604					
1596551155257335809	@RepJeffries Only 10 million jobs coming back despites the disaster created by the democrats with theyr false COVID scare. Fixed it for you.	1594349602450333696	467823431.0	1.5965164770706104e+18		['467823431']	
1596551155286683649	RT @JamesMelville: “It’s pretty clear young people don’t get sick from the disease very often…we probably, if we knew what we know today, w…	947929793969913856			1.5964283683914793e+18	['20675681']	
1596551155475259401	Are you discouraged with regards to your work from home business, This is a secret shown to get more results https://t.co/DRNuviszrF https://t.co/1WoCznABB9	891126880652451841					
1596551156331077633	RT @JoJoFromJerz: They didn’t care when he mocked a disabled man, bragged about sexual assault, lied about a pandemic, incited an insurrect…	825457144665341952			1.596539673190359e+18	['818893114979061761']	
1596551157580959744	@Jennyfr25474184 @ANGELAIOANNOU5 @notcapnamerica she DID kiss her hand and even if she didn’t who the hell cares. we just came out of a NATIONAL PANDEMIC I wouldn’t blame her for taking per cautions for herself and the child by not actually kissing her. get a life.	1420784754002116609	1.2816057629477192e+18	1.596479415877505e+18		['1281605762947719168', '1428886623052210181', '33913156']	
1596551157786476550	RT @torydemolition: When they say there’s no money for our NHS… never forget they found £37 billion for Dido Harding who’s husband wants to…	1576823781364056064			1.5959211358325391e+18	['1358074263052439554']	
1596551158272778240	RT @David__Osland: Some people are more angry with nurses for going on strike than they are with Michelle Mone for selling nurses defective…	25671065			1.596149201657688e+18	['3407247983']	
1596551159979814913	RT @Voiceofconscie3: @BestForBritain I have records of communications with Government representatives and officials where offers were made…	52400775			1.595888625966846e+18	['1239359606905868289', '846037320667217921']	
1596551160311095296	RT @benedictrogers: The deadly consequences of #XiJinping's insane, inhumane, barbaric murderous zero Covid policy are there to see in the…	2592886874			1.596534074205954e+18	['49035671']	
1596551160554745856	@POTUS 🖕 How many did your party killed with the ridiculously stupid Covid shutdowns? Nothing a pedophile has to say is worthy of even the slightest consideration.	1586705271761551360	1.3491490969096684e+18	1.5965494441319916e+18		['1349149096909668363']	
1596551160630243328	"RT @Roman_Baber: Don't blame Covid  for your or your loved ones':

- late diagnosis 
- surgery canceled 
- depression 
- child's regression…"	2406168462			1.5961271763231293e+18	['3064984647']	
1596551161003225088	Tas lifts COVID alert level as cases rise https://t.co/hocMyO8JPB	4532748434					
1596551162890969089	"RT @arisadraconis: 221126 메이크스타 2.0 #JEONWOONG 

Talked about corona…. Asked if I was still sick or not!

He was pretty worried - I’m reall…"	1104048399639183360			1.5964410780053955e+18	['105057851']	
1596551162941313025	RT @CharlesTannock: An utter scandal which is being swept under the carpet it seems	705907752			1.5962645831231447e+18	['914281548']	
1596551163402661889	@eveforamerica Same! Autism,add,add are all newer conditions. I totally believe it's chemical or environmental. Childhood vaccines. Look at the rate of diabetes! Ditto on rifles in trucks! Displayed in the rear window.	706118602299150336	7.357940463969772e+17	1.596534274253095e+18		['735794046396977153']	
1596551163519778817	@NAChristakis Zero COVID policies do not seem to work this far into the pandemic.	218538023	788363167.0	1.59635874498807e+18		['788363167']	
1596551163536605185	RT @RobertKennedyJr: After analyzing more than 7 years of Massachusetts death certificates, independent investigator John Beaudoin, Sr., un…	845465500398338051			1.595173745165013e+18	['337808606']	
