a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
-999.0,7100.984154994301,9921.984154994301,2821,10,30,sbm_50,10000,Chao Lee Jeng 1
-999.0,7400.5824633206175,10221.582463320618,2821,10,30,sbm_50,10000,Chao Lee Jeng 0
-999.0,6906.8973681809875,9727.897368180988,2821,10,30,sbm_50,10000,Jackknife k = 4
-999.0,5698.166215106732,8519.166215106732,2821,10,30,sbm_50,10000,Jackknife k = 3
-999.0,7860.7342592592595,10681.73425925926,2821,10,30,sbm_50,10000,Jackknife k = 5
-999.0,6365.7624289108735,9186.762428910873,2821,10,30,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,7106.301700168038,9927.301700168038,2821,10,30,sbm_50,10000,Turing
-999.0,4184.850574712644,7005.850574712644,2821,10,30,sbm_50,10000,Jackknife k = 2
-999.0,2308.3999999999996,5129.4,2821,10,30,sbm_50,10000,Jackknife k = 1
-999.0,7104.033488574898,9925.033488574898,2821,10,30,sbm_50,10000,Chao Lee Jeng 2
1000.0,6879.000833683736,9944.000833683736,3065,10,35,sbm_50,10000,Pseudolikelihood
-999.0,6572.809278350516,9637.809278350516,3065,10,35,sbm_50,10000,Chao
-999.0,14967.576195573241,18032.57619557324,3065,10,35,sbm_50,10000,Turing Geometric
-999.0,6581.450000000001,9646.45,3065,10,35,sbm_50,10000,Schnabel
-999.0,6543.859348531758,9608.859348531758,3065,10,35,sbm_50,10000,Zelterman
-999.0,6548.129876667508,9613.129876667508,3065,10,35,sbm_50,10000,Chao Lee Jeng 1
-999.0,6789.299298966122,9854.299298966122,3065,10,35,sbm_50,10000,Chao Lee Jeng 0
-999.0,7029.646672873696,10094.646672873696,3065,10,35,sbm_50,10000,Jackknife k = 4
-999.0,5892.297046091166,8957.297046091166,3065,10,35,sbm_50,10000,Jackknife k = 3
-999.0,7860.076270849251,10925.076270849251,3065,10,35,sbm_50,10000,Jackknife k = 5
-999.0,5012.094406729524,8077.094406729524,3065,10,35,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,6556.449201929532,9621.449201929532,3065,10,35,sbm_50,10000,Turing
-999.0,4389.735294117647,7454.735294117647,3065,10,35,sbm_50,10000,Jackknife k = 2
-999.0,2452.857142857143,5517.857142857143,3065,10,35,sbm_50,10000,Jackknife k = 1
-999.0,6550.330029981922,9615.330029981922,3065,10,35,sbm_50,10000,Chao Lee Jeng 2
1000.0,6365.7431586018565,9760.743158601857,3395,10,40,sbm_50,10000,Pseudolikelihood
-999.0,6272.666666666668,9667.666666666668,3395,10,40,sbm_50,10000,Chao
-999.0,14173.207056817457,17568.207056817457,3395,10,40,sbm_50,10000,Turing Geometric
-999.0,6122.368894601543,9517.368894601543,3395,10,40,sbm_50,10000,Schnabel
-999.0,6265.452262169665,9660.452262169665,3395,10,40,sbm_50,10000,Zelterman
-999.0,6131.475715098537,9526.475715098537,3395,10,40,sbm_50,10000,Chao Lee Jeng 1
-999.0,6330.987297691854,9725.987297691854,3395,10,40,sbm_50,10000,Chao Lee Jeng 0
-999.0,7354.839992978808,10749.839992978808,3395,10,40,sbm_50,10000,Jackknife k = 4
-999.0,6221.282574224022,9616.282574224022,3395,10,40,sbm_50,10000,Jackknife k = 3
-999.0,8163.523166283692,11558.523166283692,3395,10,40,sbm_50,10000,Jackknife k = 5
-999.0,5923.100324709918,9318.100324709918,3395,10,40,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,6134.095441982772,9529.095441982772,3395,10,40,sbm_50,10000,Turing
-999.0,4684.023076923077,8079.023076923077,3395,10,40,sbm_50,10000,Jackknife k = 2
-999.0,2648.1000000000004,6043.1,3395,10,40,sbm_50,10000,Jackknife k = 1
-999.0,6133.628772696084,9528.628772696084,3395,10,40,sbm_50,10000,Chao Lee Jeng 2
1000.0,5920.103170960392,9688.103170960392,3768,10,45,sbm_50,10000,Pseudolikelihood
-999.0,6025.856435643564,9793.856435643564,3768,10,45,sbm_50,10000,Chao
-999.0,13518.485069796141,17286.48506979614,3768,10,45,sbm_50,10000,Turing Geometric
-999.0,5717.170149253732,9485.170149253732,3768,10,45,sbm_50,10000,Schnabel
-999.0,6046.008996172182,9814.008996172182,3768,10,45,sbm_50,10000,Zelterman
-999.0,5767.948719911583,9535.948719911583,3768,10,45,sbm_50,10000,Chao Lee Jeng 1
-999.0,5938.2156037004515,9706.215603700452,3768,10,45,sbm_50,10000,Chao Lee Jeng 0
-999.0,7671.492009798987,11439.492009798987,3768,10,45,sbm_50,10000,Jackknife k = 4
-999.0,6545.088383838383,10313.088383838383,3768,10,45,sbm_50,10000,Jackknife k = 3
-999.0,8471.567146821373,12239.567146821373,3768,10,45,sbm_50,10000,Jackknife k = 5
-999.0,6533.384741133734,10301.384741133734,3768,10,45,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,5765.650452509019,9533.650452509019,3768,10,45,sbm_50,10000,Turing
-999.0,4983.1762626262625,8751.176262626263,3768,10,45,sbm_50,10000,Jackknife k = 2
-999.0,2854.133333333333,6622.133333333333,3768,10,45,sbm_50,10000,Jackknife k = 1
-999.0,5770.0506807871025,9538.050680787102,3768,10,45,sbm_50,10000,Chao Lee Jeng 2
1000.0,5499.58765625188,9574.587656251879,4075,10,50,sbm_50,10000,Pseudolikelihood
-999.0,5574.0125748503,9649.0125748503,4075,10,50,sbm_50,10000,Chao
-999.0,12764.406219035405,16839.406219035405,4075,10,50,sbm_50,10000,Turing Geometric
-999.0,5334.723076923077,9409.723076923077,4075,10,50,sbm_50,10000,Schnabel
-999.0,5592.258661240003,9667.258661240003,4075,10,50,sbm_50,10000,Zelterman
-999.0,5361.710149071912,9436.710149071912,4075,10,50,sbm_50,10000,Chao Lee Jeng 1
-999.0,5507.3609318578765,9582.360931857876,4075,10,50,sbm_50,10000,Chao Lee Jeng 0
