a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
-999.0,4739.505351530298,6094.505351530298,1355,1,50,ba_25,10000,Jackknife k = 5
-999.0,27126.831844925397,28481.831844925397,1355,1,50,ba_25,10000,Conway-Maxwell-Poisson
-999.0,5162.895383280289,6517.895383280289,1355,1,50,ba_25,10000,Turing
-999.0,2245.250612244898,3600.250612244898,1355,1,50,ba_25,10000,Jackknife k = 2
-999.0,1191.6800000000003,2546.6800000000003,1355,1,50,ba_25,10000,Jackknife k = 1
-999.0,6149.443514780015,7504.443514780015,1355,1,50,ba_25,10000,Chao Lee Jeng 2
-999.0,9595.2,9751.2,156,1,5,ba_25,10000,Morgan Ridout
-999.0,827.5999999999999,1126.6,299,1,10,ba_25,10000,Morgan Ridout
-999.0,1699.1,2145.1,446,1,15,ba_25,10000,Morgan Ridout
-999.0,2591.9,3154.9,563,1,20,ba_25,10000,Morgan Ridout
-999.0,3345.5,4025.5,680,1,25,ba_25,10000,Morgan Ridout
-999.0,3924.8999999999996,4727.9,803,1,30,ba_25,10000,Morgan Ridout
-999.0,4643.7,5564.7,921,1,35,ba_25,10000,Morgan Ridout
-999.0,5025.4,6040.4,1015,1,40,ba_25,10000,Morgan Ridout
-999.0,9029.6,10289.6,1260,1,45,ba_25,10000,Morgan Ridout
-999.0,9574.9,10929.9,1355,1,50,ba_25,10000,Morgan Ridout
0.47908786542651716,10975.388044704909,11147.388044704909,172,10,5,ba_25,10000,Pseudolikelihood
-999.0,7140.25,7312.25,172,10,5,ba_25,10000,Chao
-999.0,8390.270303562644,8562.270303562644,172,10,5,ba_25,10000,Turing Geometric
-999.0,2418.5,2590.5,172,10,5,ba_25,10000,Schnabel
-999.0,7181.3392473256545,7353.3392473256545,172,10,5,ba_25,10000,Zelterman
-999.0,5874.238564842501,6046.238564842501,172,10,5,ba_25,10000,Chao Lee Jeng 1
-999.0,8698.438132246665,8870.438132246665,172,10,5,ba_25,10000,Chao Lee Jeng 0
-999.0,335.75,507.75,172,10,5,ba_25,10000,Jackknife k = 4
-999.0,302.43333333333334,474.43333333333334,172,10,5,ba_25,10000,Jackknife k = 3
-999.0,335.75,507.75,172,10,5,ba_25,10000,Jackknife k = 5
-999.0,8.592361444984639e6,8.592533444984639e6,172,10,5,ba_25,10000,Conway-Maxwell-Poisson
-999.0,3305.11889950003,3477.11889950003,172,10,5,ba_25,10000,Turing
-999.0,235.70000000000005,407.70000000000005,172,10,5,ba_25,10000,Jackknife k = 2
-999.0,135.20000000000005,307.20000000000005,172,10,5,ba_25,10000,Jackknife k = 1
-999.0,7067.379466145148,7239.379466145148,172,10,5,ba_25,10000,Chao Lee Jeng 2
0.5482058545327602,12721.126134937633,13204.126134937633,483,10,10,ba_25,10000,Pseudolikelihood
-999.0,6304.970588235294,6787.970588235294,483,10,10,ba_25,10000,Chao
-999.0,10174.967623679455,10657.967623679455,483,10,10,ba_25,10000,Turing Geometric
-999.0,3576.16,4059.16,483,10,10,ba_25,10000,Schnabel
-999.0,6338.778987338849,6821.778987338849,483,10,10,ba_25,10000,Zelterman
-999.0,6165.984110254032,6648.984110254032,483,10,10,ba_25,10000,Chao Lee Jeng 1
-999.0,7619.133186633402,8102.133186633402,483,10,10,ba_25,10000,Chao Lee Jeng 0
-999.0,1336.3472222222222,1819.3472222222222,483,10,10,ba_25,10000,Jackknife k = 4
-999.0,1080.2305555555556,1563.2305555555556,483,10,10,ba_25,10000,Jackknife k = 3
-999.0,1546.4088955026455,2029.4088955026455,483,10,10,ba_25,10000,Jackknife k = 5
-999.0,92307.16022973241,92790.16022973241,483,10,10,ba_25,10000,Conway-Maxwell-Poisson
-999.0,4449.217902244895,4932.217902244895,483,10,10,ba_25,10000,Turing
-999.0,775.011111111111,1258.011111111111,483,10,10,ba_25,10000,Jackknife k = 2
-999.0,416.70000000000005,899.7,483,10,10,ba_25,10000,Jackknife k = 1
-999.0,6219.283900231994,6702.283900231994,483,10,10,ba_25,10000,Chao Lee Jeng 2
0.41626213082986874,11928.125362227513,12489.125362227513,561,10,15,ba_25,10000,Pseudolikelihood
-999.0,4144.378787878788,4705.378787878788,561,10,15,ba_25,10000,Chao
-999.0,7340.127164873664,7901.127164873664,561,10,15,ba_25,10000,Turing Geometric
-999.0,2827.288888888889,3388.288888888889,561,10,15,ba_25,10000,Schnabel
-999.0,4170.898052309267,4731.898052309267,561,10,15,ba_25,10000,Zelterman
-999.0,3741.2656563738874,4302.265656373887,561,10,15,ba_25,10000,Chao Lee Jeng 1
-999.0,4208.075369252315,4769.075369252315,561,10,15,ba_25,10000,Chao Lee Jeng 0
-999.0,1616.335164835165,2177.335164835165,561,10,15,ba_25,10000,Jackknife k = 4
-999.0,1288.631868131868,1849.631868131868,561,10,15,ba_25,10000,Jackknife k = 3
-999.0,1903.6456321456321,2464.645632145632,561,10,15,ba_25,10000,Jackknife k = 5
-999.0,25304.261742312858,25865.261742312858,561,10,15,ba_25,10000,Conway-Maxwell-Poisson
-999.0,3281.561057596892,3842.561057596892,561,10,15,ba_25,10000,Turing
-999.0,914.8428571428572,1475.8428571428572,561,10,15,ba_25,10000,Jackknife k = 2
-999.0,488.1333333333332,1049.1333333333332,561,10,15,ba_25,10000,Jackknife k = 1
-999.0,3752.7877438812266,4313.787743881227,561,10,15,ba_25,10000,Chao Lee Jeng 2
7.4638456471181325,1642.4861814007793,2399.486181400779,757,10,20,ba_25,10000,Pseudolikelihood
-999.0,1241.3793103448277,1998.3793103448277,757,10,20,ba_25,10000,Chao
-999.0,3064.8221049366352,3821.8221049366352,757,10,20,ba_25,10000,Turing Geometric
-999.0,1237.3579545454545,1994.3579545454545,757,10,20,ba_25,10000,Schnabel
-999.0,1218.079116344495,1975.079116344495,757,10,20,ba_25,10000,Zelterman
-999.0,1283.525862991271,2040.525862991271,757,10,20,ba_25,10000,Chao Lee Jeng 1
-999.0,1396.0351278499202,2153.03512784992,757,10,20,ba_25,10000,Chao Lee Jeng 0
-999.0,1461.0613949088406,2218.0613949088406,757,10,20,ba_25,10000,Jackknife k = 4
-999.0,1275.7934210526316,2032.7934210526316,757,10,20,ba_25,10000,Jackknife k = 3
-999.0,1562.1184205151358,2319.1184205151358,757,10,20,ba_25,10000,Jackknife k = 5
-999.0,649.5878860608711,1406.5878860608711,757,10,20,ba_25,10000,Conway-Maxwell-Poisson
-999.0,1279.6795999249073,2036.6795999249073,757,10,20,ba_25,10000,Turing
-999.0,986.3684210526317,1743.3684210526317,757,10,20,ba_25,10000,Jackknife k = 2
-999.0,570.0,1327.0,757,10,20,ba_25,10000,Jackknife k = 1
-999.0,1284.591894509006,2041.591894509006,757,10,20,ba_25,10000,Chao Lee Jeng 2
2.786860668489952,2344.5758280949244,3180.5758280949244,836,10,25,ba_25,10000,Pseudolikelihood
-999.0,1536.0,2372.0,836,10,25,ba_25,10000,Chao
-999.0,3557.0018037577347,4393.001803757735,836,10,25,ba_25,10000,Turing Geometric
-999.0,1404.0793650793653,2240.0793650793653,836,10,25,ba_25,10000,Schnabel
-999.0,1523.2395188103546,2359.2395188103546,836,10,25,ba_25,10000,Zelterman
-999.0,1540.8539807877114,2376.8539807877114,836,10,25,ba_25,10000,Chao Lee Jeng 1
-999.0,1645.841288136607,2481.841288136607,836,10,25,ba_25,10000,Chao Lee Jeng 0
-999.0,1747.8264492753628,2583.826449275363,836,10,25,ba_25,10000,Jackknife k = 4
-999.0,1493.3673188405792,2329.367318840579,836,10,25,ba_25,10000,Jackknife k = 3
-999.0,1918.7375227429575,2754.7375227429575,836,10,25,ba_25,10000,Jackknife k = 5
-999.0,741.400398975873,1577.400398975873,836,10,25,ba_25,10000,Conway-Maxwell-Poisson
-999.0,1513.4868470013384,2349.4868470013384,836,10,25,ba_25,10000,Turing
-999.0,1133.7549999999997,1969.7549999999997,836,10,25,ba_25,10000,Jackknife k = 2
-999.0,645.1199999999999,1481.12,836,10,25,ba_25,10000,Jackknife k = 1
-999.0,1542.0717085002143,2378.0717085002143,836,10,25,ba_25,10000,Chao Lee Jeng 2
0.5587422684188692,7212.522843505914,8302.522843505914,1090,10,30,ba_25,10000,Pseudolikelihood
-999.0,2458.548780487805,3548.548780487805,1090,10,30,ba_25,10000,Chao
-999.0,5055.225359085751,6145.225359085751,1090,10,30,ba_25,10000,Turing Geometric
-999.0,1850.7383966244724,2940.7383966244724,1090,10,30,ba_25,10000,Schnabel
-999.0,2472.311210810716,3562.311210810716,1090,10,30,ba_25,10000,Zelterman
-999.0,2386.3214863302906,3476.3214863302906,1090,10,30,ba_25,10000,Chao Lee Jeng 1
-999.0,2530.3597488965493,3620.3597488965493,1090,10,30,ba_25,10000,Chao Lee Jeng 0
-999.0,2523.255125281274,3613.255125281274,1090,10,30,ba_25,10000,Jackknife k = 4
-999.0,2102.032553366174,3192.032553366174,1090,10,30,ba_25,10000,Jackknife k = 3
-999.0,2843.3526270238913,3933.3526270238913,1090,10,30,ba_25,10000,Jackknife k = 5
-999.0,5462.173897173479,6552.173897173479,1090,10,30,ba_25,10000,Conway-Maxwell-Poisson
-999.0,2189.803561232083,3279.803561232083,1090,10,30,ba_25,10000,Turing
-999.0,1558.4114942528736,2648.4114942528736,1090,10,30,ba_25,10000,Jackknife k = 2
-999.0,868.0666666666666,1958.0666666666666,1090,10,30,ba_25,10000,Jackknife k = 1
-999.0,2388.0119253450202,3478.0119253450202,1090,10,30,ba_25,10000,Chao Lee Jeng 2
0.3347835961780782,8546.201562469667,9791.201562469667,1245,10,35,ba_25,10000,Pseudolikelihood
-999.0,7088.447368421053,8333.447368421053,1245,10,35,ba_25,10000,Chao
-999.0,4994.438969027406,6239.438969027406,1245,10,35,ba_25,10000,Turing Geometric
-999.0,1524.8586666666665,2769.8586666666665,1245,10,35,ba_25,10000,Schnabel
-999.0,7894.726724985701,9139.726724985701,1245,10,35,ba_25,10000,Zelterman
-999.0,3646.4980414923048,4891.498041492305,1245,10,35,ba_25,10000,Chao Lee Jeng 1
-999.0,3738.6485170894075,4983.6485170894075,1245,10,35,ba_25,10000,Chao Lee Jeng 0
-999.0,3795.1413165266113,5040.141316526611,1245,10,35,ba_25,10000,Jackknife k = 4
-999.0,2823.7854851031325,4068.7854851031325,1245,10,35,ba_25,10000,Jackknife k = 3
-999.0,4878.387786375547,6123.387786375547,1245,10,35,ba_25,10000,Jackknife k = 5
-999.0,72622.5920720662,73867.5920720662,1245,10,35,ba_25,10000,Conway-Maxwell-Poisson
-999.0,2141.896090827557,3386.896090827557,1245,10,35,ba_25,10000,Turing
-999.0,1917.4789915966385,3162.4789915966385,1245,10,35,ba_25,10000,Jackknife k = 2
-999.0,1008.3428571428572,2253.342857142857,1245,10,35,ba_25,10000,Jackknife k = 1
-999.0,3658.2215051168614,4903.221505116861,1245,10,35,ba_25,10000,Chao Lee Jeng 2
0.42857736561072685,8008.734361417146,9390.734361417146,1382,10,40,ba_25,10000,Pseudolikelihood
-999.0,7120.473404255319,8502.47340425532,1382,10,40,ba_25,10000,Chao
-999.0,5750.011488042458,7132.011488042458,1382,10,40,ba_25,10000,Turing Geometric
-999.0,1746.6608040201004,3128.6608040201004,1382,10,40,ba_25,10000,Schnabel
-999.0,7832.885960608995,9214.885960608995,1382,10,40,ba_25,10000,Zelterman
-999.0,4230.697205683984,5612.697205683984,1382,10,40,ba_25,10000,Chao Lee Jeng 1
-999.0,4337.901956523461,5719.901956523461,1382,10,40,ba_25,10000,Chao Lee Jeng 0
-999.0,4177.830288689499,5559.830288689499,1382,10,40,ba_25,10000,Jackknife k = 4
-999.0,3133.8020580296898,4515.80205802969,1382,10,40,ba_25,10000,Jackknife k = 3
-999.0,5319.597291332324,6701.597291332324,1382,10,40,ba_25,10000,Jackknife k = 5
-999.0,68681.46913287886,70063.46913287886,1382,10,40,ba_25,10000,Conway-Maxwell-Poisson
-999.0,2487.628699937466,3869.628699937466,1382,10,40,ba_25,10000,Turing
-999.0,2140.2147435897436,3522.2147435897436,1382,10,40,ba_25,10000,Jackknife k = 2
-999.0,1128.0749999999998,2510.075,1382,10,40,ba_25,10000,Jackknife k = 1
-999.0,4240.088140862856,5622.088140862856,1382,10,40,ba_25,10000,Chao Lee Jeng 2
0.32672872397842356,8237.631502298644,9691.631502298644,1454,10,45,ba_25,10000,Pseudolikelihood
-999.0,7442.0,8896.0,1454,10,45,ba_25,10000,Chao
-999.0,5313.761833862629,6767.761833862629,1454,10,45,ba_25,10000,Turing Geometric
-999.0,1448.3923809523808,2902.392380952381,1454,10,45,ba_25,10000,Schnabel
-999.0,8162.254496691503,9616.254496691503,1454,10,45,ba_25,10000,Zelterman
-999.0,6337.276775119068,7791.276775119068,1454,10,45,ba_25,10000,Chao Lee Jeng 1
-999.0,6475.89768729604,7929.89768729604,1454,10,45,ba_25,10000,Chao Lee Jeng 0
-999.0,4048.8071730594984,5502.807173059498,1454,10,45,ba_25,10000,Jackknife k = 4
