a_hat,Nu_hat,N_hat,No,trial,T,avg_n,N,type
-999.0,247.0,635.0,388,100,20,28.4,1000.0,Jackknife k = 1
-999.0,363.4408602150538,751.4408602150538,388,100,20,28.4,1000.0,Chao
33.03991055850623,891.4911372757425,1011.4911372757425,120,101,5,25.6,1000.0,Pseudolikelihood
-999.0,1737.9977728257456,1857.9977728257456,120,101,5,25.6,1000.0,Turing Geometric
-999.0,9.80422030151729,129.8042203015173,120,101,5,25.6,1000.0,Huggins
-999.0,618.75,738.75,120,101,5,25.6,1000.0,Schnabel
-999.0,781.4280857559088,901.4280857559088,120,101,5,25.6,1000.0,Zelterman
-999.0,214.0,334.0,120,101,5,25.6,1000.0,Jackknife k = 4
-999.0,194.0,314.0,120,101,5,25.6,1000.0,Jackknife k = 3
-999.0,214.0,334.0,120,101,5,25.6,1000.0,Jackknife k = 5
-999.0,112.0,232.0,120,101,5,25.6,1000.0,Conway-Maxwell-Poisson
-999.0,660.6004340571805,780.6004340571805,120,101,5,25.6,1000.0,Turing
-999.0,153.19999999999993,273.19999999999993,120,101,5,25.6,1000.0,Jackknife k = 2
-999.0,89.60000000000002,209.60000000000002,120,101,5,25.6,1000.0,Jackknife k = 1
-999.0,784.0,904.0,120,101,5,25.6,1000.0,Chao
3.3196442870330185,960.6320792747056,1190.6320792747056,230,101,10,26.4,1000.0,Pseudolikelihood
-999.0,1544.530880439842,1774.530880439842,230,101,10,26.4,1000.0,Turing Geometric
-999.0,6.192870040888636,236.19287004088864,230,101,10,26.4,1000.0,Huggins
-999.0,583.7352941176471,813.7352941176471,230,101,10,26.4,1000.0,Schnabel
-999.0,774.593112414677,1004.593112414677,230,101,10,26.4,1000.0,Zelterman
-999.0,520.9166666666667,750.9166666666667,230,101,10,26.4,1000.0,Jackknife k = 4
-999.0,433.08333333333337,663.0833333333334,230,101,10,26.4,1000.0,Jackknife k = 3
-999.0,589.3888888888888,819.3888888888888,230,101,10,26.4,1000.0,Jackknife k = 5
-999.0,2051.757007131818,2281.757007131818,230,101,10,26.4,1000.0,Conway-Maxwell-Poisson
-999.0,636.4951653602282,866.4951653602282,230,101,10,26.4,1000.0,Turing
-999.0,321.51111111111106,551.5111111111111,230,101,10,26.4,1000.0,Jackknife k = 2
-999.0,180.0,410.0,230,101,10,26.4,1000.0,Jackknife k = 1
-999.0,769.2307692307693,999.2307692307693,230,101,10,26.4,1000.0,Chao
1.8916929020236204,579.2381037511011,881.2381037511011,302,101,15,27.6,1000.0,Pseudolikelihood
-999.0,792.1442805783709,1094.1442805783709,302,101,15,27.6,1000.0,Turing Geometric
-999.0,4.124723340501305,306.1247233405013,302,101,15,27.6,1000.0,Huggins
-999.0,289.72321428571433,591.7232142857143,302,101,15,27.6,1000.0,Schnabel
-999.0,353.50252984322026,655.5025298432203,302,101,15,27.6,1000.0,Zelterman
-999.0,466.5547313797317,768.5547313797317,302,101,15,27.6,1000.0,Jackknife k = 4
-999.0,420.896336996337,722.896336996337,302,101,15,27.6,1000.0,Jackknife k = 3
-999.0,481.4503635253635,783.4503635253635,302,101,15,27.6,1000.0,Jackknife k = 5
-999.0,668.010819705992,970.010819705992,302,101,15,27.6,1000.0,Conway-Maxwell-Poisson
-999.0,302.62789602794703,604.627896027947,302,101,15,27.6,1000.0,Turing
-999.0,336.68095238095236,638.6809523809524,302,101,15,27.6,1000.0,Jackknife k = 2
-999.0,202.5333333333333,504.5333333333333,302,101,15,27.6,1000.0,Jackknife k = 1
-999.0,351.41044776119406,653.4104477611941,302,101,15,27.6,1000.0,Chao
0.8487628422081686,825.2172321574283,1217.2172321574283,392,101,20,30.0,1000.0,Pseudolikelihood
-999.0,734.1786683199023,1126.1786683199023,392,101,20,30.0,1000.0,Turing Geometric
-999.0,3.504183658253453,395.50418365825345,392,101,20,30.0,1000.0,Huggins
-999.0,227.68269230769226,619.6826923076923,392,101,20,30.0,1000.0,Schnabel
-999.0,354.22285544599583,746.2228554459958,392,101,20,30.0,1000.0,Zelterman
-999.0,518.8485982112143,910.8485982112143,392,101,20,30.0,1000.0,Jackknife k = 4
-999.0,476.7068713450292,868.7068713450292,392,101,20,30.0,1000.0,Jackknife k = 3
-999.0,529.2615561575507,921.2615561575507,392,101,20,30.0,1000.0,Jackknife k = 5
-999.0,701.2561213068027,1093.2561213068027,392,101,20,30.0,1000.0,Conway-Maxwell-Poisson
-999.0,268.24909690439813,660.2490969043981,392,101,20,30.0,1000.0,Turing
-999.0,390.75,782.75,392,101,20,30.0,1000.0,Jackknife k = 2
-999.0,242.25,634.25,392,101,20,30.0,1000.0,Jackknife k = 1
-999.0,342.2368421052631,734.2368421052631,392,101,20,30.0,1000.0,Chao
0.03108433041121412,24989.84756293143,25125.84756293143,136,102,5,29.8,1000.0,Pseudolikelihood
-999.0,1635.4673546569627,1771.4673546569627,136,102,5,29.8,1000.0,Turing Geometric
-999.0,11.034385620584118,147.03438562058412,136,102,5,29.8,1000.0,Huggins
-999.0,483.8461538461538,619.8461538461538,136,102,5,29.8,1000.0,Schnabel
